Dataset Name,Text File 1,Dataset Name 2,Text File 2,Similarity Score
batch2,6-1-6b_line_9874_3,batch3,11-1-164b_line_9874_3,0.2875816993464052
batch2,6-1-6b_line_9874_3,batch1,1-1-4a_line_9874_6,0.2641509433962264
batch2,6-1-6b_line_9874_3,batch1,1-1-4a_line_9874_2,0.2541436464088398
batch2,6-1-6b_line_9874_3,batch1,1-1-4a_line_9874_4,0.23636363636363636
batch2,6-1-6b_line_9874_3,batch1,1-1-4b_line_9874_3,0.24260355029585798
batch2,6-1-6b_line_9874_3,batch1,1-1-4b_line_9874_1,0.24561403508771928
batch2,6-1-6b_line_9874_3,batch1,1-1-4a_line_9874_3,0.2597402597402597
batch2,6-1-6b_line_9874_3,batch1,1-1-4a_line_9874_1,0.25882352941176473
batch2,6-1-6b_line_9874_3,batch1,1-1-4a_line_9874_5,0.23717948717948717
batch2,6-1-6b_line_9874_3,batch1,1-1-4b_line_9874_0,0.2085889570552147
batch2,6-1-6b_line_9874_3,batch1,1-1-4b_line_9874_2,0.25136612021857924
batch2,6-1-7a_line_9874_4,batch2,6-1-6b_line_9874_5,0.2375
batch2,6-1-7a_line_9874_4,batch2,6-1-7a_line_9874_0,0.31645569620253167
batch2,6-1-7a_line_9874_4,batch2,6-1-7a_line_9874_1,0.23417721518987342
batch2,6-1-7a_line_9874_4,batch2,6-1-7a_line_9874_5,0.20754716981132076
batch2,6-1-7a_line_9874_4,batch2,6-1-7a_line_9874_2,0.2222222222222222
batch2,6-1-7a_line_9874_4,batch2,6-1-6b_line_9874_4,0.34591194968553457
batch2,6-1-7a_line_9874_4,batch2,6-1-6b_line_9874_3,0.31645569620253167
batch2,6-1-7a_line_9874_4,batch2,6-1-6b_line_9874_6,0.2468354430379747
batch2,6-1-7a_line_9874_4,batch2,6-1-7a_line_9874_3,0.22151898734177214
batch2,6-1-7a_line_9874_4,batch3,11-1-164b_line_9874_1,0.2848101265822785
batch2,6-1-7a_line_9874_4,batch3,11-1-164b_line_9874_4,0.2848101265822785
batch2,6-1-7a_line_9874_4,batch3,11-1-164a_line_9874_5,0.2468354430379747
batch2,6-1-7a_line_9874_4,batch3,11-1-164b_line_9874_2,0.2974683544303797
batch2,6-1-7a_line_9874_4,batch3,11-1-164b_line_9874_5,0.22151898734177214
batch2,6-1-7a_line_9874_4,batch3,11-1-164a_line_9874_6,0.3037974683544304
batch2,6-1-7a_line_9874_4,batch3,11-1-164b_line_9874_6,0.23417721518987342
batch2,6-1-7a_line_9874_4,batch3,11-1-165a_line_9874_0,0.25316455696202533
batch2,6-1-7a_line_9874_4,batch3,11-1-164b_line_9874_0,0.26582278481012656
batch2,6-1-7a_line_9874_4,batch3,11-1-164b_line_9874_3,0.2468354430379747
batch2,6-1-7a_line_9874_4,batch1,1-1-4a_line_9874_6,0.23270440251572327
batch2,6-1-7a_line_9874_4,batch1,1-1-4a_line_9874_2,0.2596685082872928
batch2,6-1-7a_line_9874_4,batch1,1-1-4a_line_9874_4,0.23636363636363636
batch2,6-1-7a_line_9874_4,batch1,1-1-4b_line_9874_3,0.26627218934911245
batch2,6-1-7a_line_9874_4,batch1,1-1-4b_line_9874_1,0.2631578947368421
batch2,6-1-7a_line_9874_4,batch1,1-1-4a_line_9874_3,0.24050632911392406
batch2,6-1-7a_line_9874_4,batch1,1-1-4a_line_9874_1,0.2411764705882353
batch2,6-1-7a_line_9874_4,batch1,1-1-4a_line_9874_5,0.22151898734177214
batch2,6-1-7a_line_9874_4,batch1,1-1-4b_line_9874_0,0.2392638036809816
batch2,6-1-7a_line_9874_4,batch1,1-1-4b_line_9874_2,0.3005464480874317
batch2,6-1-6b_line_9874_6,batch2,6-1-6b_line_9874_5,0.3375
batch2,6-1-6b_line_9874_6,batch2,6-1-7a_line_9874_0,0.25806451612903225
batch2,6-1-6b_line_9874_6,batch2,6-1-7a_line_9874_1,0.16774193548387098
batch2,6-1-6b_line_9874_6,batch2,6-1-7a_line_9874_5,0.1949685534591195
batch2,6-1-6b_line_9874_6,batch2,6-1-7a_line_9874_2,0.22839506172839505
batch2,6-1-6b_line_9874_6,batch2,6-1-6b_line_9874_4,0.22641509433962265
batch2,6-1-6b_line_9874_6,batch2,6-1-6b_line_9874_3,0.23225806451612904
batch2,6-1-6b_line_9874_6,batch2,6-1-7a_line_9874_4,0.2468354430379747
batch2,6-1-6b_line_9874_6,batch2,6-1-7a_line_9874_3,0.3870967741935484
batch2,6-1-6b_line_9874_6,batch3,11-1-164b_line_9874_1,0.2129032258064516
batch2,6-1-6b_line_9874_6,batch3,11-1-164b_line_9874_4,0.25161290322580643
batch2,6-1-6b_line_9874_6,batch3,11-1-164a_line_9874_5,0.2709677419354839
batch2,6-1-6b_line_9874_6,batch3,11-1-164b_line_9874_2,0.2903225806451613
batch2,6-1-6b_line_9874_6,batch3,11-1-164b_line_9874_5,0.1935483870967742
batch2,6-1-6b_line_9874_6,batch3,11-1-164a_line_9874_6,0.25806451612903225
batch2,6-1-6b_line_9874_6,batch3,11-1-164b_line_9874_6,0.25161290322580643
batch2,6-1-6b_line_9874_6,batch3,11-1-165a_line_9874_0,0.24516129032258063
batch2,6-1-6b_line_9874_6,batch3,11-1-164b_line_9874_0,0.2
batch2,6-1-6b_line_9874_6,batch3,11-1-164b_line_9874_3,0.23225806451612904
batch2,6-1-6b_line_9874_6,batch1,1-1-4a_line_9874_6,0.2138364779874214
batch2,6-1-6b_line_9874_6,batch1,1-1-4a_line_9874_2,0.23756906077348067
batch2,6-1-6b_line_9874_6,batch1,1-1-4a_line_9874_4,0.21212121212121213
batch2,6-1-6b_line_9874_6,batch1,1-1-4b_line_9874_3,0.24260355029585798
batch2,6-1-6b_line_9874_6,batch1,1-1-4b_line_9874_1,0.23976608187134502
batch2,6-1-6b_line_9874_6,batch1,1-1-4a_line_9874_3,0.2064516129032258
batch2,6-1-6b_line_9874_6,batch1,1-1-4a_line_9874_1,0.21764705882352942
batch2,6-1-6b_line_9874_6,batch1,1-1-4a_line_9874_5,0.1858974358974359
batch2,6-1-6b_line_9874_6,batch1,1-1-4b_line_9874_0,0.20245398773006135
batch2,6-1-6b_line_9874_6,batch1,1-1-4b_line_9874_2,0.2459016393442623
batch2,6-1-7a_line_9874_3,batch2,6-1-6b_line_9874_5,0.21875
batch2,6-1-7a_line_9874_3,batch2,6-1-7a_line_9874_0,0.23225806451612904
batch2,6-1-7a_line_9874_3,batch2,6-1-7a_line_9874_1,0.1935483870967742
batch2,6-1-7a_line_9874_3,batch2,6-1-7a_line_9874_5,0.18867924528301888
batch2,6-1-7a_line_9874_3,batch2,6-1-7a_line_9874_2,0.2222222222222222
batch2,6-1-7a_line_9874_3,batch2,6-1-6b_line_9874_4,0.25157232704402516
batch2,6-1-7a_line_9874_3,batch2,6-1-6b_line_9874_3,0.18064516129032257
batch2,6-1-7a_line_9874_3,batch2,6-1-7a_line_9874_4,0.22151898734177214
batch2,6-1-7a_line_9874_3,batch2,6-1-6b_line_9874_6,0.3870967741935484
batch2,6-1-7a_line_9874_3,batch3,11-1-164b_line_9874_1,0.2
batch2,6-1-7a_line_9874_3,batch3,11-1-164b_line_9874_4,0.3032258064516129
batch2,6-1-7a_line_9874_3,batch3,11-1-164a_line_9874_5,0.24516129032258063
batch2,6-1-7a_line_9874_3,batch3,11-1-164b_line_9874_2,0.24516129032258063
batch2,6-1-7a_line_9874_3,batch3,11-1-164b_line_9874_5,0.22580645161290322
batch2,6-1-7a_line_9874_3,batch3,11-1-164a_line_9874_6,0.21935483870967742
batch2,6-1-7a_line_9874_3,batch3,11-1-164b_line_9874_6,0.25806451612903225
batch2,6-1-7a_line_9874_3,batch3,11-1-165a_line_9874_0,0.2064516129032258
batch2,6-1-7a_line_9874_3,batch3,11-1-164b_line_9874_0,0.1870967741935484
batch2,6-1-7a_line_9874_3,batch3,11-1-164b_line_9874_3,0.21935483870967742
batch2,6-1-7a_line_9874_3,batch1,1-1-4a_line_9874_6,0.20125786163522014
batch2,6-1-7a_line_9874_3,batch1,1-1-4a_line_9874_2,0.2596685082872928
batch2,6-1-7a_line_9874_3,batch1,1-1-4a_line_9874_4,0.23030303030303031
batch2,6-1-7a_line_9874_3,batch1,1-1-4b_line_9874_3,0.20710059171597633
batch2,6-1-7a_line_9874_3,batch1,1-1-4b_line_9874_1,0.2573099415204678
batch2,6-1-7a_line_9874_3,batch1,1-1-4a_line_9874_3,0.21935483870967742
batch2,6-1-7a_line_9874_3,batch1,1-1-4a_line_9874_1,0.21176470588235294
batch2,6-1-7a_line_9874_3,batch1,1-1-4a_line_9874_5,0.16666666666666666
batch2,6-1-7a_line_9874_3,batch1,1-1-4b_line_9874_0,0.25153374233128833
batch2,6-1-7a_line_9874_3,batch1,1-1-4b_line_9874_2,0.2677595628415301
batch3,11-1-164b_line_9874_1,batch2,6-1-6b_line_9874_5,0.25
batch3,11-1-164b_line_9874_1,batch2,6-1-7a_line_9874_0,0.29605263157894735
batch3,11-1-164b_line_9874_1,batch2,6-1-7a_line_9874_1,0.2967741935483871
batch3,11-1-164b_line_9874_1,batch2,6-1-7a_line_9874_5,0.2641509433962264
batch3,11-1-164b_line_9874_1,batch2,6-1-7a_line_9874_2,0.2222222222222222
batch3,11-1-164b_line_9874_1,batch2,6-1-6b_line_9874_4,0.3018867924528302
batch3,11-1-164b_line_9874_1,batch2,6-1-6b_line_9874_3,0.26143790849673204
